=== ТУРНИР: SMART VS PRIMITIVE (ТОЧНОЕ ВРЕМЯ) ===

--- ПАРТИЯ #1 ---
Ход 16  | PRIM(B) : [5,4]->[4,3] | Осталось: 240 сек
Ход 17  | SMART(W): [1,2]->[2,3] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 18  | PRIM(B) : [7,4]->[6,3] | Осталось: 240 сек
Ход 19  | SMART(W): [6,1]->[7,3] | Осталось: 55 сек
Ход 20  | PRIM(B) : [4,5]->[3,6] | Осталось: 239 сек
Ход 21  | SMART(W): [1,7]->[2,7] | Осталось: 54 сек
Ход 22  | PRIM(B) : [4,3]->[3,4] | Осталось: 239 сек
Ход 23  | SMART(W): [2,7]->[3,6] ⚔️ Съел: [Шашка] | Осталось: 54 сек
   [!] Штраф: потерян PAWN (-1 сек). Осталось: 53 сек
Ход 24  | PRIM(B) : [3,4]->[1,2] ⚔️ Съел: [PAWN (-1s)] | Осталось: 239 сек
Ход 25  | SMART(W): [0,3]->[1,2] ⚔️ Съел: [Шашка] | Осталось: 53 сек
Ход 26  | PRIM(B) : [6,3]->[5,4] | Осталось: 239 сек
Ход 27  | SMART(W): [1,2]->[1,1] | Осталось: 53 сек
Ход 28  | PRIM(B) : [5,4]->[4,3] | Осталось: 239 сек
Ход 29  | SMART(W): [0,1]->[1,3] | Осталось: 53 сек
Ход 30  | PRIM(B) : [7,6]->[6,5] | Осталось: 239 сек
Ход 31  | SMART(W): [0,7]->[6,7] ⚔️ Съел: [Шашка] | Осталось: 53 сек
Ход 32  | PRIM(B) : [5,6]->[4,5] | Осталось: 239 сек
Ход 33  | SMART(W): [3,6]->[4,5] ⚔️ Съел: [Шашка] | Осталось: 53 сек
Ход 34  | PRIM(B) : [6,5]->[5,6] | Осталось: 239 сек
Ход 35  | SMART(W): [0,0]->[0,1] | Осталось: 53 сек
   [!] Штраф: потерян PAWN (-1 сек). Осталось: 52 сек
Ход 36  | PRIM(B) : [5,6]->[3,4] ⚔️ Съел: [PAWN (-1s)] | Осталось: 239 сек
Ход 37  | SMART(W): [0,4]->[1,4] | Осталось: 52 сек
Ход 38  | PRIM(B) : [4,3]->[3,2] | Осталось: 239 сек
